stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,new_fail,new_ok,coverage_m2,bcr_pct,far_pct,height_m
E1 저층부 확대(경계 확장),43,3.5,150.0,194319.2,546952.7,290.3,31.88,9.11,2800.0,3.0,194305.2,546952.7,51,44,2923.2,31.11,400.0,130.85
E1 저층부 확대(경계 확장),41,2.5,172.5,194319.2,546966.7,438.1,33.09,13.24,2400.0,1.6,194291.2,546938.7,51,47,2501.7,26.63,400.0,124.95
E1 저층부 확대(경계 확장),39,3.0,157.5,194333.2,546980.7,261.4,28.0,9.33,3000.0,2.2,194305.2,546952.7,51,40,3119.2,33.2,400.0,119.05
E2 층수 하향(범위 밖 참고),25,2.0,165.0,194331.2,546976.7,1172.0,48.41,24.21,2000.0,4.0,194315.2,546944.7,51,41,2112.8,22.49,400.0,77.75
E1 저층부 확대(경계 확장),43,2.5,150.0,194319.2,546952.7,411.5,32.07,12.83,2400.0,3.0,194319.2,546952.7,52,43,2514.1,26.76,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,157.5,194263.2,546938.7,411.5,32.07,12.83,2400.0,1.6,194291.2,546938.7,52,27,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,165.0,194305.2,546980.7,411.5,32.07,12.83,2400.0,3.0,194319.2,546952.7,52,43,2514.1,26.76,400.0,130.85
E1 저층부 확대(경계 확장),39,3.0,165.0,194305.2,546980.7,330.3,31.48,10.49,2800.0,2.2,194305.2,546966.7,52,42,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,165.0,194315.2,546960.7,703.2,41.93,16.77,2000.0,4.0,194315.2,546944.7,52,51,2112.8,22.49,400.0,107.25
E2 층수 하향(범위 밖 참고),35,2.0,165.0,194315.2,546976.7,383.2,27.68,13.84,2800.0,2.2,194299.2,546944.7,52,49,2915.2,31.03,400.0,107.25
E2 층수 하향(범위 밖 참고),35,3.0,150.0,194347.2,546976.7,383.2,33.91,11.3,2800.0,4.0,194315.2,546944.7,52,45,2933.3,31.22,400.0,107.25
E1 저층부 확대(경계 확장),41,3.5,165.0,194319.2,546966.7,309.0,32.89,9.4,2800.0,1.6,194305.2,546952.7,53,53,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),39,3.5,150.0,194319.2,546952.7,261.4,30.25,8.64,3000.0,3.0,194319.2,546952.7,53,44,3127.5,33.29,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,172.5,194305.2,546966.7,192.4,21.93,8.77,3200.0,2.2,194305.2,546952.7,53,47,3323.0,35.37,400.0,119.05
E1 저층부 확대(경계 확장),41,3.0,172.5,194319.2,546980.7,438.1,36.25,12.08,2400.0,3.0,194305.2,546938.7,54,52,2514.1,26.76,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,165.0,194333.2,546980.7,180.0,23.24,7.75,3200.0,2.2,194305.2,546952.7,54,40,3323.0,35.37,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,157.5,194319.2,546952.7,180.0,25.1,7.17,3200.0,1.6,194291.2,546952.7,54,25,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),45,2.0,157.5,194333.2,546980.7,388.0,27.86,13.93,2400.0,3.0,194305.2,546938.7,55,48,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,3.5,157.5,194347.2,546980.7,273.7,30.95,8.84,2800.0,3.0,194305.2,546952.7,55,33,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,157.5,194305.2,546980.7,290.3,29.51,9.84,2800.0,1.6,194319.2,546966.7,55,36,2909.8,30.97,400.0,130.85
E1 저층부 확대(경계 확장),41,3.0,157.5,194319.2,546966.7,438.1,36.25,12.08,2400.0,4.0,194305.2,546952.7,55,39,2523.5,26.86,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,165.0,194305.2,546966.7,438.1,39.16,11.19,2400.0,3.0,194305.2,546938.7,55,56,2514.1,26.76,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,165.0,194305.2,546980.7,244.5,29.25,8.36,3000.0,2.2,194291.2,546966.7,55,33,3119.2,33.2,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,150.0,194333.2,546980.7,192.4,19.62,9.81,3200.0,2.2,194305.2,546952.7,55,41,3323.0,35.37,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,150.0,194331.2,546976.7,330.3,25.7,12.85,2800.0,2.2,194299.2,546944.7,55,40,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,165.0,194315.2,546960.7,330.3,25.7,12.85,2800.0,1.6,194315.2,546960.7,55,46,2909.8,30.97,400.0,119.05
E2 층수 하향(범위 밖 참고),20,2.5,165.0,194299.2,546960.7,358.0,29.92,11.97,3400.0,1.6,194299.2,546944.7,55,34,3520.9,37.48,400.0,63.0
E1 저층부 확대(경계 확장),45,3.0,165.0,194333.2,546980.7,273.7,28.66,9.55,2800.0,3.0,194319.2,546952.7,56,44,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,150.0,194333.2,546966.7,411.5,28.69,14.34,2400.0,1.6,194291.2,546938.7,56,38,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),45,3.5,165.0,194305.2,546980.7,273.7,30.95,8.84,2800.0,3.0,194291.2,546966.7,57,25,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,165.0,194305.2,546980.7,229.7,26.25,8.75,3000.0,2.2,194291.2,546966.7,57,33,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),39,2.5,172.5,194305.2,546980.7,468.3,34.22,13.69,2400.0,1.6,194305.2,546952.7,57,55,2501.7,26.63,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,157.5,194305.2,546980.7,330.3,28.74,11.5,2800.0,1.6,194319.2,546966.7,57,36,2909.8,30.97,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,157.5,194305.2,546980.7,330.3,34.0,9.72,2800.0,3.0,194305.2,546966.7,57,34,2923.2,31.11,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,165.0,194319.2,546980.7,330.3,34.0,9.72,2800.0,1.6,194291.2,546938.7,57,43,2909.8,30.97,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,172.5,194319.2,546980.7,261.4,25.56,10.23,3000.0,3.0,194319.2,546952.7,57,43,3127.5,33.29,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,150.0,194333.2,546994.7,261.4,30.25,8.64,3000.0,3.0,194305.2,546952.7,57,33,3127.5,33.29,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,165.0,194319.2,546966.7,192.4,21.93,8.77,3200.0,1.6,194291.2,546952.7,57,27,3317.3,35.31,400.0,119.05
E1 저층부 확대(경계 확장),45,3.5,157.5,194333.2,546994.7,216.6,27.53,7.87,3000.0,2.2,194305.2,546952.7,58,39,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,165.0,194305.2,546966.7,290.3,29.51,9.84,2800.0,2.2,194305.2,546952.7,58,51,2915.2,31.03,400.0,130.85
E1 저층부 확대(경계 확장),39,3.5,172.5,194319.2,546980.7,330.3,34.0,9.72,2800.0,1.6,194305.2,546952.7,58,53,2909.8,30.97,400.0,119.05
E2 층수 하향(범위 밖 참고),25,2.0,150.0,194315.2,546992.7,238.7,21.85,10.92,3400.0,1.6,194315.2,546960.7,58,37,3520.9,37.48,400.0,77.75
E1 저층부 확대(경계 확장),45,2.5,165.0,194319.2,546980.7,273.7,26.16,10.46,2800.0,1.6,194305.2,546952.7,59,53,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,150.0,194319.2,546966.7,411.5,35.14,11.71,2400.0,2.2,194319.2,546952.7,59,46,2506.7,26.68,400.0,130.85
E1 저층부 확대(경계 확장),43,3.0,157.5,194333.2,546994.7,411.5,35.14,11.71,2400.0,1.6,194291.2,546938.7,59,40,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,150.0,194319.2,546966.7,411.5,37.95,10.84,2400.0,1.6,194291.2,546938.7,59,43,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,165.0,194333.2,546980.7,290.3,24.1,12.05,2800.0,3.0,194319.2,546952.7,59,44,2923.2,31.11,400.0,130.85
E1 저층부 확대(경계 확장),39,2.0,157.5,194305.2,546980.7,192.4,19.62,9.81,3200.0,3.0,194291.2,546966.7,59,22,3331.6,35.46,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.0,165.0,194315.2,546960.7,703.2,37.5,18.75,2000.0,2.2,194315.2,546960.7,59,50,2097.5,22.33,400.0,107.25
E1 저층부 확대(경계 확장),45,3.0,165.0,194319.2,546966.7,388.0,34.12,11.37,2400.0,2.2,194291.2,546952.7,60,33,2506.7,26.68,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,172.5,194319.2,546980.7,411.5,28.69,14.34,2400.0,2.2,194319.2,546952.7,60,46,2506.7,26.68,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,157.5,194333.2,546980.7,438.1,29.6,14.8,2400.0,3.0,194319.2,546952.7,60,45,2514.1,26.76,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,165.0,194305.2,546966.7,438.1,29.6,14.8,2400.0,1.6,194291.2,546938.7,60,49,2501.7,26.63,400.0,124.95
E1 저층부 확대(경계 확장),39,3.5,165.0,194333.2,546994.7,192.4,25.95,7.41,3200.0,2.2,194305.2,546952.7,60,38,3323.0,35.37,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,165.0,194315.2,546976.7,606.2,42.65,14.22,2000.0,2.2,194315.2,546960.7,60,50,2097.5,22.33,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,165.0,194299.2,546976.7,330.3,31.48,10.49,2800.0,1.6,194299.2,546944.7,60,49,2909.8,30.97,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,150.0,194315.2,546960.7,383.2,30.95,12.38,2800.0,1.6,194315.2,546960.7,60,46,2909.8,30.97,400.0,107.25
E2 층수 하향(범위 밖 참고),30,3.0,165.0,194315.2,546960.7,479.0,37.91,12.64,2800.0,2.2,194299.2,546960.7,60,41,2915.2,31.03,400.0,92.5
E1 저층부 확대(경계 확장),45,2.0,150.0,194319.2,546966.7,273.7,23.4,11.7,2800.0,1.6,194305.2,546952.7,61,51,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,150.0,194305.2,546980.7,273.7,28.66,9.55,2800.0,4.0,194305.2,546952.7,61,34,2933.3,31.22,400.0,136.75
E1 저층부 확대(경계 확장),43,2.5,172.5,194305.2,546966.7,411.5,32.07,12.83,2400.0,1.6,194291.2,546938.7,61,49,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.0,172.5,194319.2,546980.7,411.5,35.14,11.71,2400.0,3.0,194305.2,546952.7,61,51,2514.1,26.76,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,165.0,194333.2,546966.7,229.7,23.96,9.59,3000.0,2.2,194291.2,546952.7,61,21,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),41,2.5,150.0,194319.2,546966.7,438.1,33.09,13.24,2400.0,4.0,194305.2,546952.7,61,37,2523.5,26.86,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,150.0,194333.2,546994.7,438.1,36.25,12.08,2400.0,3.0,194305.2,546938.7,61,48,2514.1,26.76,400.0,124.95
E2 층수 하향(범위 밖 참고),35,3.0,165.0,194331.2,546976.7,703.2,45.93,15.31,2000.0,3.0,194315.2,546960.7,61,45,2104.3,22.4,400.0,107.25
E2 층수 하향(범위 밖 참고),30,3.0,165.0,194331.2,546976.7,479.0,37.91,12.64,2800.0,4.0,194299.2,546960.7,61,22,2933.3,31.22,400.0,92.5
E2 층수 하향(범위 밖 참고),25,2.0,165.0,194315.2,546976.7,1172.0,48.41,24.21,2000.0,2.2,194299.2,546944.7,61,51,2097.5,22.33,400.0,77.75
E2 층수 하향(범위 밖 참고),20,3.0,165.0,194331.2,546992.7,358.0,32.77,10.92,3400.0,1.6,194315.2,546976.7,61,24,3520.9,37.48,400.0,63.0
E1 저층부 확대(경계 확장),45,2.5,165.0,194277.2,546924.7,273.7,26.16,10.46,2800.0,1.6,194291.2,546938.7,62,25,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),41,2.5,150.0,194333.2,546994.7,438.1,33.09,13.24,2400.0,1.6,194291.2,546938.7,62,38,2501.7,26.63,400.0,124.95
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194331.2,546992.7,238.7,24.43,9.77,3400.0,2.2,194299.2,546960.7,62,23,3526.8,37.54,400.0,77.75
E2 층수 하향(범위 밖 참고),20,3.0,150.0,194331.2,546976.7,958.0,53.61,17.87,2800.0,2.2,194299.2,546960.7,62,29,2915.2,31.03,400.0,63.0
E1 저층부 확대(경계 확장),45,2.0,150.0,194333.2,546994.7,273.7,23.4,11.7,2800.0,3.0,194305.2,546952.7,63,37,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,157.5,194319.2,546966.7,273.7,28.66,9.55,2800.0,1.6,194291.2,546952.7,63,31,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,172.5,194333.2,546994.7,216.6,23.27,9.31,3000.0,3.0,194305.2,546952.7,63,32,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),43,3.5,172.5,194305.2,546952.7,411.5,37.95,10.84,2400.0,1.6,194291.2,546938.7,63,47,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,172.5,194319.2,546980.7,411.5,37.95,10.84,2400.0,1.6,194305.2,546952.7,63,53,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.0,172.5,194277.2,546924.7,290.3,29.51,9.84,2800.0,1.6,194291.2,546938.7,63,26,2909.8,30.97,400.0,130.85
E1 저층부 확대(경계 확장),41,3.0,172.5,194333.2,546980.7,309.0,30.45,10.15,2800.0,3.0,194305.2,546952.7,63,38,2923.2,31.11,400.0,124.95
E2 층수 하향(범위 밖 참고),30,2.5,150.0,194331.2,546976.7,879.0,46.88,18.75,2000.0,3.0,194315.2,546944.7,63,46,2104.3,22.4,400.0,92.5
E2 층수 하향(범위 밖 참고),25,2.0,165.0,194347.2,546976.7,238.7,21.85,10.92,3400.0,1.6,194299.2,546960.7,63,18,3520.9,37.48,400.0,77.75
E1 저층부 확대(경계 확장),45,2.5,150.0,194319.2,546980.7,388.0,31.14,12.46,2400.0,4.0,194305.2,546952.7,64,37,2523.5,26.86,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,165.0,194319.2,546952.7,216.6,25.49,8.5,3000.0,1.6,194305.2,546966.7,64,43,3113.6,33.14,400.0,136.75
