수광점ID,학교,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,S1_총일조h,S1_연속h,S1_기준A,S2_총일조h,S2_연속h,S2_기준A,Δ총일조h,Δ연속h,변화
여의도고등학교 운동장-126,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,126,옥외지반 근사,194239.78,547266.13,0.0,2.67,1.67,불충족,2.67,1.67,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-127,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,127,옥외지반 근사,194247.78,547266.13,0.0,5.17,3.5,충족,5.17,3.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-128,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,128,옥외지반 근사,194255.78,547266.13,0.0,6.33,3.33,충족,6.33,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-129,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,129,옥외지반 근사,194263.78,547266.13,0.0,7.33,6.17,충족,7.33,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-130,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,130,옥외지반 근사,194271.78,547266.13,0.0,7.17,6.17,충족,7.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-131,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,131,옥외지반 근사,194119.78,547274.13,0.0,5.0,4.17,충족,5.0,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-132,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,132,옥외지반 근사,194127.78,547274.13,0.0,5.17,4.5,충족,5.17,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-133,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,133,옥외지반 근사,194135.78,547274.13,0.0,5.5,4.5,충족,5.5,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-134,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,134,옥외지반 근사,194143.78,547274.13,0.0,5.0,5.0,충족,5.0,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-135,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,135,옥외지반 근사,194151.78,547274.13,0.0,5.17,4.83,충족,5.17,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-136,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,136,옥외지반 근사,194159.78,547274.13,0.0,5.17,4.67,충족,5.17,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-137,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,137,옥외지반 근사,194167.78,547274.13,0.0,4.83,4.17,충족,4.83,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-138,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,138,옥외지반 근사,194175.78,547274.13,0.0,4.67,3.67,충족,4.67,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-139,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,139,옥외지반 근사,194183.78,547274.13,0.0,4.17,3.17,충족,4.17,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-140,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,140,옥외지반 근사,194207.78,547274.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-141,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,141,옥외지반 근사,194215.78,547274.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-142,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,142,옥외지반 근사,194239.78,547274.13,0.0,3.67,2.17,충족,3.67,2.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-143,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,143,옥외지반 근사,194247.78,547274.13,0.0,5.33,5.33,충족,5.33,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-144,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,144,옥외지반 근사,194255.78,547274.13,0.0,6.33,6.0,충족,6.33,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-145,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,145,옥외지반 근사,194263.78,547274.13,0.0,7.0,6.17,충족,7.0,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-146,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,146,옥외지반 근사,194271.78,547274.13,0.0,7.33,6.17,충족,7.33,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-147,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,147,옥외지반 근사,194103.78,547282.13,0.0,5.0,4.0,충족,5.0,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-148,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,148,옥외지반 근사,194111.78,547282.13,0.0,5.17,4.17,충족,5.17,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-149,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,149,옥외지반 근사,194119.78,547282.13,0.0,5.67,4.5,충족,5.67,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-150,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,150,옥외지반 근사,194127.78,547282.13,0.0,5.67,5.0,충족,5.67,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-151,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,151,옥외지반 근사,194135.78,547282.13,0.0,5.33,4.83,충족,5.33,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-152,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,152,옥외지반 근사,194143.78,547282.13,0.0,5.17,4.67,충족,5.17,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-153,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,153,옥외지반 근사,194151.78,547282.13,0.0,4.67,4.5,충족,4.67,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-154,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,154,옥외지반 근사,194159.78,547282.13,0.0,4.5,4.17,충족,4.5,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-155,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,155,옥외지반 근사,194167.78,547282.13,0.0,4.67,4.0,충족,4.67,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-156,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,156,옥외지반 근사,194175.78,547282.13,0.0,4.5,3.83,충족,4.5,3.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-157,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,157,옥외지반 근사,194207.78,547282.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-158,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,158,옥외지반 근사,194215.78,547282.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-159,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,159,옥외지반 근사,194223.78,547282.13,0.0,1.5,1.17,불충족,1.5,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-160,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,160,옥외지반 근사,194231.78,547282.13,0.0,3.17,3.17,충족,3.17,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-161,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,161,옥외지반 근사,194239.78,547282.13,0.0,4.17,4.17,충족,4.17,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-162,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,162,옥외지반 근사,194247.78,547282.13,0.0,5.17,5.17,충족,5.17,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-163,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,163,옥외지반 근사,194255.78,547282.13,0.0,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-164,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,164,옥외지반 근사,194263.78,547282.13,0.0,6.67,6.0,충족,6.67,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-165,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,165,옥외지반 근사,194271.78,547282.13,0.0,6.33,5.67,충족,6.33,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-166,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,166,옥외지반 근사,194087.78,547290.13,0.0,4.83,3.67,충족,4.83,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-167,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,167,옥외지반 근사,194095.78,547290.13,0.0,4.83,3.83,충족,4.83,3.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-168,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,168,옥외지반 근사,194103.78,547290.13,0.0,5.33,4.17,충족,5.33,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-169,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,169,옥외지반 근사,194111.78,547290.13,0.0,5.83,5.0,충족,5.83,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-170,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,170,옥외지반 근사,194119.78,547290.13,0.0,5.67,4.83,충족,5.67,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-171,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,171,옥외지반 근사,194127.78,547290.13,0.0,5.5,4.67,충족,5.5,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-172,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,172,옥외지반 근사,194135.78,547290.13,0.0,5.33,4.5,충족,5.33,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-173,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,173,옥외지반 근사,194143.78,547290.13,0.0,5.33,4.5,충족,5.33,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-174,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,174,옥외지반 근사,194151.78,547290.13,0.0,5.17,4.5,충족,5.17,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-175,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,175,옥외지반 근사,194159.78,547290.13,0.0,4.83,4.33,충족,4.83,4.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-176,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,176,옥외지반 근사,194167.78,547290.13,0.0,4.83,4.33,충족,4.83,4.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-177,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,177,옥외지반 근사,194191.78,547290.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-178,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,178,옥외지반 근사,194199.78,547290.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-179,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,179,옥외지반 근사,194207.78,547290.13,0.0,1.17,0.67,불충족,1.17,0.67,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-180,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,180,옥외지반 근사,194215.78,547290.13,0.0,3.0,2.17,충족,3.0,2.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-181,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,181,옥외지반 근사,194223.78,547290.13,0.0,3.5,3.0,충족,3.5,3.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-182,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,182,옥외지반 근사,194231.78,547290.13,0.0,4.0,4.0,충족,4.0,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-183,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,183,옥외지반 근사,194239.78,547290.13,0.0,5.0,5.0,충족,5.0,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-184,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,184,옥외지반 근사,194247.78,547290.13,0.0,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-185,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,185,옥외지반 근사,194255.78,547290.13,0.0,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-186,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,186,옥외지반 근사,194263.78,547290.13,0.0,6.17,5.67,충족,6.17,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-187,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,187,옥외지반 근사,194271.78,547290.13,0.0,6.5,5.67,충족,6.5,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-188,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,188,옥외지반 근사,194071.78,547298.13,0.0,5.0,3.17,충족,5.0,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-189,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,189,옥외지반 근사,194079.78,547298.13,0.0,5.67,3.5,충족,5.67,3.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-190,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,190,옥외지반 근사,194087.78,547298.13,0.0,6.17,4.0,충족,6.17,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-191,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,191,옥외지반 근사,194095.78,547298.13,0.0,6.33,4.5,충족,6.33,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-192,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,192,옥외지반 근사,194103.78,547298.13,0.0,6.17,4.67,충족,6.17,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-193,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,193,옥외지반 근사,194111.78,547298.13,0.0,6.0,4.67,충족,6.0,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-194,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,194,옥외지반 근사,194119.78,547298.13,0.0,5.5,4.67,충족,5.5,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-195,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,195,옥외지반 근사,194127.78,547298.13,0.0,5.33,4.5,충족,5.33,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-196,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,196,옥외지반 근사,194135.78,547298.13,0.0,5.67,4.67,충족,5.67,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-197,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,197,옥외지반 근사,194143.78,547298.13,0.0,5.5,4.5,충족,5.5,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-198,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,198,옥외지반 근사,194151.78,547298.13,0.0,6.0,4.67,충족,6.0,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-199,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,199,옥외지반 근사,194191.78,547298.13,0.0,0.33,0.33,불충족,0.33,0.33,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-200,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,200,옥외지반 근사,194199.78,547298.13,0.0,2.17,1.17,불충족,2.17,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-201,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,201,옥외지반 근사,194207.78,547298.13,0.0,3.5,2.0,충족,3.5,2.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-202,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,202,옥외지반 근사,194215.78,547298.13,0.0,4.67,2.67,충족,4.67,2.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-203,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,203,옥외지반 근사,194223.78,547298.13,0.0,5.83,3.67,충족,5.83,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-204,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,204,옥외지반 근사,194231.78,547298.13,0.0,6.5,4.83,충족,6.5,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-205,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,205,옥외지반 근사,194239.78,547298.13,0.0,6.17,5.5,충족,6.17,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-206,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,206,옥외지반 근사,194247.78,547298.13,0.0,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-207,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,207,옥외지반 근사,194255.78,547298.13,0.0,6.5,6.33,충족,6.5,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-208,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,208,옥외지반 근사,194263.78,547298.13,0.0,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-209,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,209,옥외지반 근사,194271.78,547298.13,0.0,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-210,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,210,옥외지반 근사,194063.78,547306.13,0.0,4.5,4.5,충족,4.5,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-211,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,211,옥외지반 근사,194071.78,547306.13,0.0,5.17,5.17,충족,5.17,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-212,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,212,옥외지반 근사,194079.78,547306.13,0.0,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-213,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,213,옥외지반 근사,194087.78,547306.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-214,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,214,옥외지반 근사,194095.78,547306.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-215,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,215,옥외지반 근사,194103.78,547306.13,0.0,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-216,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,216,옥외지반 근사,194111.78,547306.13,0.0,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-217,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,217,옥외지반 근사,194119.78,547306.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-218,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,218,옥외지반 근사,194127.78,547306.13,0.0,6.5,5.33,충족,6.5,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-219,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,219,옥외지반 근사,194135.78,547306.13,0.0,6.33,5.33,충족,6.33,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-220,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,220,옥외지반 근사,194143.78,547306.13,0.0,6.0,5.33,충족,6.0,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-221,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,221,옥외지반 근사,194151.78,547306.13,0.0,5.67,4.5,충족,5.67,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-222,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,222,옥외지반 근사,194191.78,547306.13,0.0,2.33,1.17,불충족,2.33,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 운동장-223,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,223,옥외지반 근사,194207.78,547306.13,0.0,5.17,5.17,충족,5.17,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-224,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,224,옥외지반 근사,194215.78,547306.13,0.0,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-225,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,225,옥외지반 근사,194223.78,547306.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-226,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,226,옥외지반 근사,194231.78,547306.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-227,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,227,옥외지반 근사,194239.78,547306.13,0.0,6.67,6.33,충족,6.67,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-228,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,228,옥외지반 근사,194247.78,547306.13,0.0,7.33,6.83,충족,7.33,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-229,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,229,옥외지반 근사,194255.78,547306.13,0.0,7.5,6.83,충족,7.5,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-230,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,230,옥외지반 근사,194263.78,547306.13,0.0,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-231,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,231,옥외지반 근사,194271.78,547306.13,0.0,7.33,7.0,충족,7.33,7.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-232,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,232,옥외지반 근사,194063.78,547314.13,0.0,4.83,4.83,충족,4.83,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-233,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,233,옥외지반 근사,194071.78,547314.13,0.0,5.33,5.33,충족,5.33,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-234,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,234,옥외지반 근사,194079.78,547314.13,0.0,5.67,5.67,충족,5.67,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-235,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,235,옥외지반 근사,194087.78,547314.13,0.0,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-236,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,236,옥외지반 근사,194095.78,547314.13,0.0,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-237,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,237,옥외지반 근사,194103.78,547314.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-238,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,238,옥외지반 근사,194111.78,547314.13,0.0,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-239,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,239,옥외지반 근사,194119.78,547314.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-240,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,240,옥외지반 근사,194127.78,547314.13,0.0,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-241,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,241,옥외지반 근사,194135.78,547314.13,0.0,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-242,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,242,옥외지반 근사,194143.78,547314.13,0.0,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-243,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,243,옥외지반 근사,194151.78,547314.13,0.0,6.0,5.17,충족,6.0,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-244,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,244,옥외지반 근사,194183.78,547314.13,0.0,3.33,2.83,충족,3.33,2.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-245,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,245,옥외지반 근사,194191.78,547314.13,0.0,4.5,4.5,충족,4.5,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-246,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,246,옥외지반 근사,194199.78,547314.13,0.0,5.5,5.5,충족,5.5,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-247,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,247,옥외지반 근사,194207.78,547314.13,0.0,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-248,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,248,옥외지반 근사,194215.78,547314.13,0.0,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-249,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,249,옥외지반 근사,194223.78,547314.13,0.0,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-250,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,250,옥외지반 근사,194231.78,547314.13,0.0,6.83,6.33,충족,6.83,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-251,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,251,옥외지반 근사,194239.78,547314.13,0.0,7.17,6.67,충족,7.17,6.67,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-252,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,252,옥외지반 근사,194247.78,547314.13,0.0,7.5,6.83,충족,7.5,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-253,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,253,옥외지반 근사,194255.78,547314.13,0.0,7.5,6.83,충족,7.5,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 운동장-254,여의도고등학교,운동장 지반,여의도고등학교 운동장,지반,0,254,옥외지반 근사,194263.78,547314.13,0.0,7.83,7.0,충족,7.83,7.0,충족,0.0,0.0,유지 충족
