family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,50,50,169.0,74,34,37580,400.0,11337,48917,825,8.78,0.056,,,1,3.484,12.51,50층 752㎡(60.1×12.5m)
단일,5 미세조정,49,49,165.7,74,38,37580,400.0,9608,47188,830,8.84,0.022,,,1,3.567,16.85,49층 767㎡(45.5×16.9m)
단일,5 미세조정,48,48,162.4,74,37,37580,400.0,10200,47780,852,9.07,0.025,,,1,3.551,14.75,48층 783㎡(53.1×14.7m)
단일,5 미세조정,47,47,159.1,74,37,37580,400.0,9815,47395,867,9.23,0.025,,,1,3.545,15.71,47층 800㎡(50.9×15.7m)
단일,5 미세조정,47,47,159.1,74,38,37580,400.0,9815,47395,867,9.23,0.034,,,1,3.542,15.71,47층 800㎡(50.9×15.7m)
단일,5 미세조정,47,47,159.1,74,37,37580,400.0,9815,47395,867,9.23,0.027,,,1,3.534,15.71,47층 800㎡(50.9×15.7m)
단일,5 미세조정,46,46,155.8,74,37,37580,400.0,9183,46763,881,9.38,0.024,,,1,3.559,17.9,46층 817㎡(45.6×17.9m)
단일,5 미세조정,44,44,149.2,74,37,37580,400.0,9349,46929,923,9.82,0.028,,,1,3.572,16.71,44층 854㎡(51.1×16.7m)
단일,1b 층수·세장비,55,55,185.5,75,33,37580,400.0,12820,50400,759,8.08,0.037,,,1,3.482,10.67,55층 683㎡(64.0×10.7m)
단일,5 미세조정,53,53,178.9,75,37,37580,400.0,11685,49265,781,8.31,0.022,,,1,3.478,12.15,53층 709㎡(58.3×12.2m)
단일,5 미세조정,52,52,175.6,75,37,37580,400.0,10635,48215,789,8.4,0.035,,,1,3.548,14.17,52층 723㎡(51.0×14.2m)
단일,5 미세조정,52,52,175.6,75,37,37580,400.0,10864,48444,790,8.41,0.035,,,1,3.542,13.63,52층 723㎡(53.0×13.6m)
단일,5 미세조정,52,52,175.6,75,36,37580,400.0,11570,49150,795,8.46,0.039,,,1,3.498,12.27,52층 723㎡(58.9×12.3m)
단일,5 미세조정,52,52,175.6,75,34,37580,400.0,11532,49112,795,8.46,0.061,,,1,3.492,12.33,52층 723㎡(58.6×12.3m)
단일,5 미세조정,52,52,175.6,75,37,37580,400.0,11202,48782,793,8.44,0.032,,,1,3.48,12.93,52층 723㎡(55.9×12.9m)
단일,5 미세조정,48,48,162.4,75,38,37580,400.0,9256,46836,845,9.0,0.019,,,1,3.575,18.16,48층 783㎡(43.1×18.2m)
단일,5 미세조정,48,48,162.4,75,37,37580,400.0,9923,47503,850,9.05,0.025,,,1,3.543,15.54,48층 783㎡(50.4×15.5m)
단일,5 미세조정,48,48,162.4,75,33,37580,400.0,11099,48679,858,9.13,0.051,,,1,3.491,12.77,48층 783㎡(61.3×12.8m)
단일,5 미세조정,47,47,159.1,75,38,37580,400.0,9249,46829,863,9.19,0.021,,,1,3.599,17.88,47층 800㎡(44.7×17.9m)
단일,5 미세조정,46,46,155.8,75,38,37580,400.0,9052,46632,881,9.37,0.028,,,1,3.568,18.55,46층 817㎡(44.0×18.5m)
단일,5 미세조정,46,46,155.8,75,38,37580,400.0,9183,46763,881,9.38,0.038,,,1,3.563,17.9,46층 817㎡(45.6×17.9m)
단일,5 미세조정,45,45,152.5,75,38,37580,400.0,9089,46669,900,9.58,0.027,,,1,3.555,18.04,45층 835㎡(46.3×18.0m)
단일,5 미세조정,44,44,149.2,75,37,37580,400.0,9959,47539,928,9.87,0.023,,,1,3.542,14.82,44층 854㎡(57.6×14.8m)
단일,5 미세조정,55,55,185.5,76,37,37580,400.0,11874,49454,753,8.02,0.047,,,1,3.487,11.99,55층 683㎡(57.0×12.0m)
단일,5 미세조정,55,55,185.5,76,32,37580,400.0,12599,50179,758,8.06,0.037,,,1,3.483,10.95,55층 683㎡(62.4×10.9m)
단일,5 미세조정,55,55,185.5,76,37,37580,400.0,11479,49059,751,7.99,0.057,,,1,3.482,12.68,55층 683㎡(53.9×12.7m)
단일,5 미세조정,55,55,185.5,76,36,37580,400.0,12599,50179,758,8.06,0.047,,,1,3.479,10.95,55층 683㎡(62.4×10.9m)
단일,5 미세조정,54,54,182.2,76,37,37580,400.0,10765,48345,760,8.09,0.018,,,1,3.531,14.1,54층 696㎡(49.3×14.1m)
단일,5 미세조정,54,54,182.2,76,37,37580,400.0,11080,48660,762,8.11,0.028,,,1,3.511,13.38,54층 696㎡(52.0×13.4m)
단일,5 미세조정,54,54,182.2,76,37,37580,400.0,11953,49533,768,8.17,0.041,,,1,3.481,11.8,54층 696㎡(59.0×11.8m)
단일,5 미세조정,53,53,178.9,76,36,37580,400.0,10902,48482,776,8.26,0.048,,,1,3.499,13.66,53층 709㎡(51.9×13.7m)
단일,5 미세조정,53,53,178.9,76,33,37580,400.0,12576,50156,786,8.37,0.033,,,1,3.478,10.87,53층 709㎡(65.2×10.9m)
단일,5 미세조정,52,52,175.6,76,34,37580,400.0,11796,49376,796,8.48,0.054,,,1,3.476,11.9,52층 723㎡(60.7×11.9m)
단일,5 미세조정,51,51,172.3,76,38,37580,400.0,10050,47630,801,8.52,0.033,,,1,3.561,15.67,51층 737㎡(47.0×15.7m)
단일,5 미세조정,51,51,172.3,76,37,37580,400.0,10842,48422,806,8.58,0.033,,,1,3.504,13.57,51층 737㎡(54.3×13.6m)
단일,5 미세조정,51,51,172.3,76,36,37580,400.0,10686,48266,805,8.57,0.047,,,1,3.499,13.93,51층 737㎡(52.9×13.9m)
단일,5 미세조정,50,50,169.0,76,38,37580,400.0,9456,47036,813,8.65,0.032,,,1,3.599,17.79,50층 752㎡(42.2×17.8m)
단일,5 미세조정,49,49,165.7,76,38,37580,400.0,9725,47305,831,8.85,0.032,,,1,3.564,16.4,49층 767㎡(46.8×16.4m)
단일,5 미세조정,49,49,165.7,76,38,37580,400.0,9777,47357,831,8.85,0.032,,,1,3.563,16.22,49층 767㎡(47.3×16.2m)
단일,5 미세조정,48,48,162.4,76,37,37580,400.0,9798,47378,849,9.04,0.024,,,1,3.547,15.95,48층 783㎡(49.1×15.9m)
단일,5 미세조정,47,47,159.1,76,36,37580,400.0,10391,47971,871,9.27,0.044,,,1,3.495,14.14,47층 800㎡(56.6×14.1m)
단일,5 미세조정,46,46,155.8,76,38,37580,400.0,8870,46450,879,9.36,0.032,,,1,3.584,19.61,46층 817㎡(41.7×19.6m)
단일,5 미세조정,46,46,155.8,76,38,37580,400.0,8993,46573,880,9.37,0.037,,,1,3.561,18.87,46층 817㎡(43.3×18.9m)
단일,5 미세조정,46,46,155.8,76,38,37580,400.0,9183,46763,881,9.38,0.047,,,1,3.559,17.9,46층 817㎡(45.6×17.9m)
단일,5 미세조정,46,46,155.8,76,38,37580,400.0,9052,46632,881,9.37,0.038,,,1,3.557,18.55,46층 817㎡(44.0×18.5m)
단일,5 미세조정,46,46,155.8,76,37,37580,400.0,9459,47039,884,9.4,0.024,,,1,3.541,16.74,46층 817㎡(48.8×16.7m)
단일,5 미세조정,44,44,149.2,76,38,37580,400.0,8844,46424,919,9.78,0.042,,,1,3.585,18.96,44층 854㎡(45.0×19.0m)
단일,5 미세조정,44,44,149.2,76,37,37580,400.0,9194,46774,922,9.81,0.038,,,1,3.575,17.31,44층 854㎡(49.3×17.3m)
단일,5 미세조정,44,44,149.2,76,38,37580,400.0,8666,46246,918,9.77,0.022,,,1,3.572,20.05,44층 854㎡(42.6×20.0m)
단일,5 미세조정,43,43,145.9,76,37,37580,400.0,8974,46554,942,10.02,0.022,,,1,3.574,17.99,43층 874㎡(48.6×18.0m)
