family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,corridor_gap,pair_gap,swap
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,108,8,37580,400.0,11123,48703,2056,21.89,0.07,4.0,0.11,4,3.725,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.597142254737264,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,108,8,37580,400.0,11123,48703,2056,21.89,0.063,5.0,0.14,4,3.719,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.544734475355654,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,110,8,37580,400.0,11123,48703,2056,21.89,0.055,6.0,0.17,4,3.714,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.492326696170494,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,111,10,37580,400.0,11123,48703,2056,21.89,0.085,4.0,0.11,4,3.75,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.42840304419224,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,112,10,37580,400.0,11123,48703,2056,21.89,0.07,4.0,0.11,4,3.766,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.597142254933715,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,112,8,37580,400.0,11123,48703,2056,21.89,0.078,5.0,0.14,4,3.742,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.32329880895122,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,112,8,37580,400.0,11123,48703,2056,21.89,0.071,6.0,0.17,4,3.736,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.21819457371021,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,114,10,37580,400.0,11123,48703,2056,21.89,0.063,5.0,0.14,4,3.758,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.544734475748555,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,114,17,37580,400.0,11123,48703,2056,21.89,0.047,4.0,0.11,4,3.758,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),54.50064805174043,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,116,10,37580,400.0,11123,48703,2056,21.89,0.055,6.0,0.17,4,3.752,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.492326696366945,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,118,15,37580,400.0,11123,48703,2056,21.89,0.068,6.0,0.17,4,3.745,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.75683399614354,6.0,False
