순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
42,S023,직사각형,직사각형 1.5:1 / 회전 135°,683.3,55,1.0,1.5,37.7,가능,84.7,79.3,2.1,-2.8,104,1.47,80.2,85.9,82.1,100.0
43,S016,직사각형,직사각형 1.5:1 / 회전 30°,683.3,55,1.0,1.5,38.4,가능,84.6,80.0,1.9,-3.2,105,1.47,80.2,85.5,82.1,100.0
44,S019,직사각형,직사각형 1.5:1 / 회전 75°,683.3,55,1.0,1.5,28.9,가능,84.6,79.1,1.9,-2.8,105,1.5,79.7,85.9,82.1,100.0
45,S014,직사각형,직사각형 1.5:1 / 회전 0°,683.3,55,1.0,1.5,32.0,가능,84.4,79.0,1.8,-3.3,106,1.51,79.2,85.9,82.1,100.0
46,S018,직사각형,직사각형 1.5:1 / 회전 60°,683.3,55,1.0,1.5,34.5,가능,84.4,79.1,1.8,-3.3,106,1.52,79.2,85.9,82.1,100.0
47,S079,팔각형,모서리컷 팔각형 1.6:1 / 회전 15°,683.3,55,0.98,1.6,36.3,가능,84.7,79.3,2.1,-2.8,104,1.47,80.2,85.9,82.1,100.0
48,S082,팔각형,모서리컷 팔각형 1.6:1 / 회전 60°,683.3,55,0.98,1.6,32.2,가능,84.7,80.1,2.1,-2.8,104,1.48,80.2,85.9,82.1,100.0
49,S083,팔각형,모서리컷 팔각형 1.6:1 / 회전 75°,683.3,55,0.98,1.6,27.5,가능,84.7,80.1,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
50,S080,팔각형,모서리컷 팔각형 1.6:1 / 회전 30°,683.3,55,0.98,1.6,36.7,가능,84.6,79.3,1.9,-3.2,105,1.48,80.2,85.5,82.1,100.0
51,S081,팔각형,모서리컷 팔각형 1.6:1 / 회전 45°,683.3,55,0.98,1.6,34.7,가능,84.6,80.0,1.9,-3.2,105,1.49,80.2,85.5,82.1,100.0
52,S078,팔각형,모서리컷 팔각형 1.6:1 / 회전 0°,683.3,55,0.98,1.6,33.4,가능,84.4,79.0,1.8,-3.3,106,1.51,79.2,85.9,82.1,100.0
53,S088,팔각형,모서리컷 팔각형 1.6:1 / 회전 150°,683.3,55,0.98,1.6,36.7,가능,84.4,79.0,1.8,-3.3,106,1.5,79.2,85.9,82.1,100.0
54,S089,팔각형,모서리컷 팔각형 1.6:1 / 회전 165°,683.3,55,0.98,1.6,36.3,가능,84.4,78.8,1.8,-3.3,106,1.51,79.2,85.9,82.1,100.0
55,S032,직사각형,직사각형 2:1 / 회전 90°,683.3,55,1.0,2.0,18.5,가능,84.7,80.3,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
56,S030,직사각형,직사각형 2:1 / 회전 60°,683.3,55,1.0,2.0,34.5,가능,84.6,79.3,1.9,-2.8,105,1.49,79.7,85.9,82.1,100.0
57,S031,직사각형,직사각형 2:1 / 회전 75°,683.3,55,1.0,2.0,27.4,가능,84.6,80.0,1.9,-2.8,105,1.5,79.7,85.9,82.1,100.0
58,S027,직사각형,직사각형 2:1 / 회전 15°,683.3,55,1.0,2.0,40.5,가능,84.4,78.1,1.8,-3.3,106,1.49,79.2,85.9,82.1,100.0
59,S046,직사각형,직사각형 2.5:1 / 회전 120°,683.3,55,1.0,2.5,35.0,가능,84.9,80.7,2.2,-2.8,103,1.41,81.1,85.9,81.5,100.0
60,S044,직사각형,직사각형 2.5:1 / 회전 90°,683.3,55,1.0,2.5,16.5,가능,84.7,80.3,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
61,S043,직사각형,직사각형 2.5:1 / 회전 75°,683.3,55,1.0,2.5,26.7,가능,84.6,80.0,1.9,-2.8,105,1.51,79.7,85.9,82.1,100.0
62,S056,직사각형,직사각형 3:1 / 회전 90°,683.3,55,1.0,3.0,15.1,가능,84.7,80.3,2.1,-2.8,104,1.51,80.2,85.9,82.1,100.0
63,S055,직사각형,직사각형 3:1 / 회전 75°,683.3,55,1.0,3.0,26.3,가능,84.6,80.0,1.9,-2.8,105,1.5,79.7,85.9,82.1,100.0
64,S094,타원,타원 1.6:1 / 회전 45°,683.3,55,0.784,1.6,31.1,가능,84.7,80.3,2.1,-2.8,104,1.49,80.2,85.9,82.1,100.0
65,S102,타원,타원 1.6:1 / 회전 165°,683.3,55,0.784,1.6,36.6,가능,84.7,80.0,2.1,-2.8,104,1.47,80.2,85.9,82.1,100.0
